========
TRAINING
========

Max epochs   500000. Desired error: 0.0109999999.
Epochs          114. Current error: 0.1430406570. Bit fail 590.
Epochs          115. Current error: 0.1428093016. Bit fail 591.
Epochs          116. Current error: 0.1425810903. Bit fail 591.
Epochs          117. Current error: 0.1423567683. Bit fail 590.
Epochs          118. Current error: 0.1421355605. Bit fail 591.
Epochs          119. Current error: 0.1419170648. Bit fail 590.
Epochs          120. Current error: 0.1417025179. Bit fail 590.
Epochs          121. Current error: 0.1414907277. Bit fail 588.
Epochs          122. Current error: 0.1412817240. Bit fail 588.
Epochs          123. Current error: 0.1410762072. Bit fail 588.
Epochs          124. Current error: 0.1408734322. Bit fail 587.
Epochs          125. Current error: 0.1406733692. Bit fail 587.
Epochs          126. Current error: 0.1404761523. Bit fail 586.
Epochs          127. Current error: 0.1402818859. Bit fail 586.
Epochs          128. Current error: 0.1400892884. Bit fail 586.
Epochs          129. Current error: 0.1399001926. Bit fail 588.
Epochs          130. Current error: 0.1397132576. Bit fail 588.
Epochs          131. Current error: 0.1395286173. Bit fail 587.
Epochs          132. Current error: 0.1393467337. Bit fail 586.
Epochs          133. Current error: 0.1391672045. Bit fail 586.
Epochs          134. Current error: 0.1389891952. Bit fail 586.
Epochs          135. Current error: 0.1388140321. Bit fail 584.
Epochs          136. Current error: 0.1386403292. Bit fail 566.
Epochs          137. Current error: 0.1384690702. Bit fail 565.
Epochs          138. Current error: 0.1383005828. Bit fail 564.
Epochs          139. Current error: 0.1381332129. Bit fail 564.
Epochs          140. Current error: 0.1379677653. Bit fail 562.
Epochs          141. Current error: 0.1378045380. Bit fail 562.
Epochs          142. Current error: 0.1376434118. Bit fail 562.
Epochs          143. Current error: 0.1374837607. Bit fail 562.
Epochs          144. Current error: 0.1373260021. Bit fail 563.
Epochs          145. Current error: 0.1371697634. Bit fail 562.
Epochs          146. Current error: 0.1370153129. Bit fail 562.
Epochs          147. Current error: 0.1368626207. Bit fail 562.
Epochs          148. Current error: 0.1367116272. Bit fail 563.
Epochs          149. Current error: 0.1365616769. Bit fail 563.
Epochs          150. Current error: 0.1364135891. Bit fail 562.
Epochs          151. Current error: 0.1362675726. Bit fail 561.
Epochs          152. Current error: 0.1361220032. Bit fail 564.
Epochs          153. Current error: 0.1359786242. Bit fail 564.
Epochs          154. Current error: 0.1358360201. Bit fail 564.
Epochs          155. Current error: 0.1356949508. Bit fail 564.
Epochs          156. Current error: 0.1355558038. Bit fail 563.
Epochs          157. Current error: 0.1354169399. Bit fail 564.
Epochs          158. Current error: 0.1352802217. Bit fail 564.
Epochs          159. Current error: 0.1351441145. Bit fail 565.
Epochs          160. Current error: 0.1350096166. Bit fail 565.
Epochs          161. Current error: 0.1348761916. Bit fail 565.
Epochs          162. Current error: 0.1347439140. Bit fail 568.
Epochs          163. Current error: 0.1346130520. Bit fail 568.
Epochs          164. Current error: 0.1344829798. Bit fail 568.
Epochs          165. Current error: 0.1343539208. Bit fail 569.
Epochs          166. Current error: 0.1342258304. Bit fail 570.
Epochs          167. Current error: 0.1340992004. Bit fail 570.
Epochs          168. Current error: 0.1339733899. Bit fail 570.
Epochs          169. Current error: 0.1338486075. Bit fail 570.
Epochs          170. Current error: 0.1337248385. Bit fail 570.
Epochs          171. Current error: 0.1336015910. Bit fail 571.
Epochs          172. Current error: 0.1334796250. Bit fail 571.
Epochs          173. Current error: 0.1333587170. Bit fail 570.
Epochs          174. Current error: 0.1332384497. Bit fail 569.
Epochs          175. Current error: 0.1331192851. Bit fail 569.
Epochs          176. Current error: 0.1330006421. Bit fail 569.
Epochs          177. Current error: 0.1328829229. Bit fail 569.
Epochs          178. Current error: 0.1327659041. Bit fail 569.
Epochs          179. Current error: 0.1326501369. Bit fail 569.
Epochs          180. Current error: 0.1325348020. Bit fail 569.
Epochs          181. Current error: 0.1324201524. Bit fail 568.
Epochs          182. Current error: 0.1323064715. Bit fail 568.
Epochs          183. Current error: 0.1321935058. Bit fail 568.
Epochs          184. Current error: 0.1320811957. Bit fail 568.
Epochs          185. Current error: 0.1319696456. Bit fail 566.
Epochs          186. Current error: 0.1318586767. Bit fail 566.
Epochs          187. Current error: 0.1317483932. Bit fail 567.
Epochs          188. Current error: 0.1316387057. Bit fail 567.
Epochs          189. Current error: 0.1315298676. Bit fail 568.
Epochs          190. Current error: 0.1314213425. Bit fail 570.
Epochs          191. Current error: 0.1313138455. Bit fail 570.
Epochs          192. Current error: 0.1312065721. Bit fail 571.
Epochs          193. Current error: 0.1311004609. Bit fail 571.
Epochs          194. Current error: 0.1309946030. Bit fail 570.
Epochs          195. Current error: 0.1308889985. Bit fail 570.
Epochs          196. Current error: 0.1307845414. Bit fail 571.
Epochs          197. Current error: 0.1306802332. Bit fail 572.
Epochs          198. Current error: 0.1305767298. Bit fail 574.
Epochs          199. Current error: 0.1304735541. Bit fail 575.
Epochs          200. Current error: 0.1303706914. Bit fail 575.
Epochs          201. Current error: 0.1302685738. Bit fail 575.
Epochs          202. Current error: 0.1301671416. Bit fail 575.
Epochs          203. Current error: 0.1300658286. Bit fail 575.
Epochs          204. Current error: 0.1299651563. Bit fail 576.
Epochs          205. Current error: 0.1298649162. Bit fail 576.
Epochs          206. Current error: 0.1297654063. Bit fail 575.
Epochs          207. Current error: 0.1296660751. Bit fail 575.
Epochs          208. Current error: 0.1295672655. Bit fail 575.
Epochs          209. Current error: 0.1294690371. Bit fail 575.
Epochs          210. Current error: 0.1293709576. Bit fail 577.
Epochs          211. Current error: 0.1292733699. Bit fail 577.
Epochs          212. Current error: 0.1291759312. Bit fail 577.
Epochs          213. Current error: 0.1290793419. Bit fail 577.
Epochs          214. Current error: 0.1289830804. Bit fail 578.
Epochs          215. Current error: 0.1288866997. Bit fail 580.
Epochs          216. Current error: 0.1287911385. Bit fail 580.
Epochs          217. Current error: 0.1286959350. Bit fail 580.
Epochs          218. Current error: 0.1286008805. Bit fail 580.
Epochs          219. Current error: 0.1285067350. Bit fail 579.
Epochs          220. Current error: 0.1284123957. Bit fail 579.
Epochs          221. Current error: 0.1283184886. Bit fail 579.
Epochs          222. Current error: 0.1282249689. Bit fail 579.
Epochs          223. Current error: 0.1281321496. Bit fail 579.
Epochs          224. Current error: 0.1280390471. Bit fail 579.
Epochs          225. Current error: 0.1279464811. Bit fail 579.
Epochs          226. Current error: 0.1278543919. Bit fail 579.
Epochs          227. Current error: 0.1277623475. Bit fail 579.
Epochs          228. Current error: 0.1276704818. Bit fail 579.
Epochs          229. Current error: 0.1275793761. Bit fail 579.
Epochs          230. Current error: 0.1274883151. Bit fail 578.
Epochs          231. Current error: 0.1273973435. Bit fail 578.
Epochs          232. Current error: 0.1273069382. Bit fail 577.
Epochs          233. Current error: 0.1272167861. Bit fail 577.
Epochs          234. Current error: 0.1271269172. Bit fail 578.
Epochs          235. Current error: 0.1270369738. Bit fail 578.
Epochs          236. Current error: 0.1269478798. Bit fail 578.
Epochs          237. Current error: 0.1268585771. Bit fail 578.
Epochs          238. Current error: 0.1267696172. Bit fail 578.
Epochs          239. Current error: 0.1266809106. Bit fail 578.
Epochs          240. Current error: 0.1265922636. Bit fail 578.
Epochs          241. Current error: 0.1265041530. Bit fail 578.
Epochs          242. Current error: 0.1264158785. Bit fail 579.
Epochs          243. Current error: 0.1263281554. Bit fail 579.
Epochs          244. Current error: 0.1262408644. Bit fail 579.
Epochs          245. Current error: 0.1261534840. Bit fail 579.
Epochs          246. Current error: 0.1260660887. Bit fail 578.
Epochs          247. Current error: 0.1259792447. Bit fail 578.
Epochs          248. Current error: 0.1258923560. Bit fail 579.
Epochs          249. Current error: 0.1258057952. Bit fail 580.
Epochs          250. Current error: 0.1257194877. Bit fail 579.
Epochs          251. Current error: 0.1256333143. Bit fail 579.
Epochs          252. Current error: 0.1255474836. Bit fail 579.
Epochs          253. Current error: 0.1254615486. Bit fail 578.
Epochs          254. Current error: 0.1253760010. Bit fail 577.
Epochs          255. Current error: 0.1252905428. Bit fail 577.
Epochs          256. Current error: 0.1252053976. Bit fail 576.
Epochs          257. Current error: 0.1251201183. Bit fail 575.
Epochs          258. Current error: 0.1250351667. Bit fail 575.
Epochs          259. Current error: 0.1249506772. Bit fail 575.
